L.p.,crossoverChance,mutationChance,numberOfMixes,nofPointsMax,nofPointsMin,thicknessMax,thicknessMin,divider,size,Benford
69,0.32748580798643323,0.00035572761247983347,280,35,21,1,1,1033,42856,-11.806809970459112
70,0.5501277257772866,0.0007992455161625141,388,19,14,3,2,412,20846,-11.532420823140377
71,0.595526465182963,0.0007085854789452567,48,15,7,2,2,800,39366,-3.6008292815143736
72,0.663120653759734,4.6093197144022245e-05,47,8,7,3,2,373,13684,-5.135049652704417
73,0.3081341584233084,0.0006583665368770905,242,31,6,3,3,1922,77118,-8.554376207401807
74,0.5282639891628715,0.0007987014520717315,371,26,16,3,3,1286,14066,-15.2799620280813
75,0.7626731800139241,0.0008315827799307438,225,5,2,1,1,547,30258,-1.711312486377155
76,0.8061820633754568,0.0004042992611925561,432,5,4,3,2,1891,93816,-11.30127211556576
77,0.3344874031514721,0.0006044316490354253,135,18,1,3,3,1059,6562,-9.067005425226638
78,0.20155709212074469,0.0004399498878006506,155,1,1,2,1,548,53928,-15.334886470256372
79,0.277796077215611,0.000606169140068148,263,36,11,2,1,1031,2954,-16.05907155816943
80,0.2895631910998392,5.307388487447556e-05,60,2,1,2,1,93,2088,-4.233915481705609
81,0.45916469991184455,6.161786550968628e-05,79,3,2,1,1,64,4134,-7.770760348096089
82,0.16325863407907573,0.0008794355475276991,217,33,27,3,3,706,48162,-5.379313063769669
83,0.2498912670872226,5.268462962676768e-05,63,1,1,2,1,96,4928,-1.6086954670089222
84,0.27390605853642475,1.384077379979172e-05,79,5,2,2,2,77,3290,-2.1658524404784316
85,0.5608069563052117,0.00021715402289885233,462,3,1,2,2,970,45014,-12.03318053100943
86,0.5331905964794077,0.00085374819339573,84,33,20,2,1,1887,30734,-5.361409639081252
87,0.385172078613517,0.000975595068732365,473,8,6,3,3,1734,98772,-3.235564399272853
88,0.6779745104081837,0.0006946450029803693,485,7,2,1,1,1927,45088,-5.735814352334277
89,0.3935808807925048,3.528309344657704e-05,88,3,1,1,1,96,4202,-5.7693333057326335
90,0.16010436583973925,0.0007354346507146939,490,33,30,2,2,1967,16370,-16.45763101298627
91,0.7229189637423546,0.0008496670184276622,364,23,20,1,1,1235,3024,-16.45763101298627
92,0.3270774934790819,3.644713592196425e-05,85,5,4,2,2,57,2604,-4.021171876492852
93,0.6218848657066859,0.0006369979229484257,211,11,1,3,2,94,46158,-2.255688439911457
94,0.31484030340381575,0.00046180693298899687,411,10,2,1,1,911,2528,-15.072658584462243
95,0.28370279444844204,0.0006901194072167922,64,15,14,4,2,798,11586,-7.175256492004565
96,0.4657832148684271,0.0004816691638340561,320,28,19,3,1,215,90098,-3.2444339496568357
97,0.7075671810057135,0.0008144791096798017,269,27,8,3,2,1333,77304,-11.15244284284339
98,0.7159352807542424,0.000522813396427632,46,1,1,2,1,771,8718,-11.459850857693432
99,0.3844479091274764,7.0145662313324e-05,86,2,2,1,1,93,2808,-7.627895689398694
100,0.16084615092660004,0.0003755720580330635,250,30,14,2,2,1586,31486,-5.695627069922068
101,0.4101757825085246,0.0003141628056049483,341,4,1,2,1,1617,15856,-4.205628865910099
102,0.4782656128979435,4.525258565822716e-05,65,2,2,1,1,74,2970,-8.35590445315858
103,0.3148297112713646,0.00024103828069601114,439,27,3,2,2,1608,23736,-9.454653604067806
104,0.30643442610661104,2.4317940752657325e-05,99,1,1,2,1,84,3176,-2.2209961123593085
105,0.3925204314011046,9.880748190943456e-05,85,5,1,1,1,55,4010,-9.135084200157124
106,0.3743604586144885,0.00038786838781938976,449,21,2,3,3,820,47018,-4.7597964353188225
107,0.36237048282717216,5.4574721890371925e-05,79,5,4,2,2,70,4502,-1.740146584216208
108,0.467904805148388,6.057642084116892e-05,90,1,1,2,1,68,4144,-2.178548934167158
109,0.7801784783709685,0.0004167474469049909,197,12,9,1,1,245,32140,-2.3175661062472526
110,0.5010812997620153,0.0004277764657102356,477,21,13,1,1,1498,98038,-9.720989638909419
111,0.42339193365456596,7.397959842214877e-05,234,18,3,1,1,636,52222,-2.0036346962565017
112,0.469431554324676,0.0008123888963942169,116,7,7,3,2,536,55296,-10.56282881792413
113,0.2170554037017592,0.0005027748146740238,424,27,22,2,1,1520,36844,-11.263623854924822
114,0.7672032390745477,0.0008769614894241519,293,18,17,5,1,345,47544,-5.461110296135174
115,0.3302688735894812,0.0003763576765702084,316,14,13,4,4,148,37254,-5.924502766833968
116,0.2781406825475308,0.0009736536243698653,20,26,24,2,2,1285,89342,-14.686485672090555
117,0.1707612784339604,0.0008455284021719018,423,30,4,1,1,1792,14602,-15.656512983792641
118,0.8415356722290283,0.0007238264609365722,130,26,8,1,1,148,70494,-2.409080428719679
119,0.7278391390731601,0.000864805542178382,146,8,5,2,2,883,2032,-12.281279433666983
120,0.4311177496159333,0.0007112646573697668,157,23,23,3,1,51,95584,-1.735986162969795
121,0.7956150039497504,0.0009954093967176176,30,15,9,3,2,288,18200,-2.2892850305429864
122,0.38034111954145633,0.00036533053183049455,471,11,6,5,1,480,34382,-2.73219906546315
123,0.5914415829937225,0.0002927744644615881,53,30,2,2,2,1246,42826,-1.581772193116538
124,0.8532363733935683,0.00018257645043308243,124,6,6,3,3,1395,9472,-5.663783754994925
125,0.41532934949562816,0.0004545404710641501,26,20,10,4,1,715,18770,-7.306657876525195
126,0.4148090724782467,0.00019906392752388758,436,16,9,2,1,217,10324,-7.838093074454062
127,0.11842062539304693,0.00027218537834958336,465,1,1,2,2,420,92906,-15.852000701533573
128,0.7223695852557654,0.0005223514833853648,64,15,13,1,1,768,46250,-1.8414187531001613
129,0.7983294984694927,0.0008931696393442295,362,18,9,2,1,515,4468,-15.67672347735825
130,0.6997636374428181,0.0002695096119437964,414,30,24,1,1,794,35734,-11.790051986540902
131,0.7229282814577644,0.0002992243922189926,112,4,3,4,4,449,23926,-14.237194886430892
132,0.24880312173080574,0.0003953252500323853,350,22,19,1,1,1520,65724,-4.984069137610702
133,0.5165526016259678,0.0007944064270704761,202,6,1,2,2,87,29926,-2.4325160207686483
134,0.11661975906999872,0.0009937949995460081,478,1,1,5,3,908,37908,-11.015306191191094
135,0.6136774321026897,0.0007897129534197052,331,18,7,1,1,529,38902,-11.55303644911332
136,0.5071699163013271,0.0008848993940527646,57,14,5,3,3,510,38820,-2.710837943610107
137,0.4221121757384676,0.0004708049832644742,225,13,5,4,3,57,16062,-1.515524153585186
138,0.34310567520084145,0.0008526891691276792,215,29,24,1,1,143,96950,-3.1930714483225553
139,0.7720476169407985,0.0002790977842781043,170,2,1,1,1,812,82276,-14.013904566120088
140,0.8967888223271681,0.0006382023381340235,37,11,11,3,2,765,4540,-1.8052932170232814
141,0.5192065518593216,0.0001895054769055588,255,10,3,1,1,400,45742,-1.5017424662990992
142,0.47366695812842907,0.0006739555888648001,100,35,19,2,1,903,93986,-3.9403634044335014
143,0.19326944808942717,0.0001875407636424878,180,40,32,3,2,606,89302,-3.061413965736166
144,0.38859846177806645,0.0002737463563074767,51,17,4,5,3,184,23830,-6.968584656438734
145,0.638986712673729,0.00046645254298773617,324,7,3,2,2,395,40670,-2.019127917476236
146,0.323161325468344,0.0009296135010506877,219,7,7,5,3,363,39386,-9.346190301641366
147,0.8547342260111389,0.00016417397675976087,499,10,9,1,1,963,19066,-5.661917937882886
148,0.44110960140345945,0.00010321468315862755,96,25,14,2,2,603,97426,-2.6650141327453243
149,0.7196456226927455,0.00042191226765847674,446,16,13,1,1,70,37834,-4.777822445149479
150,0.6209440925112674,0.0005098252436121286,233,5,3,5,1,131,34340,-7.772644316730389
151,0.21664825024018022,0.0002514830580620162,483,1,1,1,1,190,54290,-10.23514066623816
152,0.3912744659610532,0.0005150237282807412,129,5,5,3,3,114,85682,-11.7261280667034
153,0.22246820114752064,0.00040429253328357756,150,18,11,4,3,555,17156,-1.9731013833001512
154,0.11401568778608039,0.00042082519760605185,40,2,1,2,2,584,10302,-12.469981983500928
155,0.2652976636896609,0.0007763052381278773,190,15,11,2,1,243,54194,-1.7973707021505017
156,0.6823249713261262,0.0006631856541735358,411,25,17,3,1,1416,89268,-11.569553549405033
157,0.5760559830242544,0.0002403416684362543,53,36,5,3,2,392,94910,-1.6978498541983118
158,0.3650242084515517,0.0005181097136964216,258,1,1,1,1,84,4042,-9.206743590108996
159,0.12553082180620018,0.00047442299582498454,234,17,13,5,4,723,43620,-9.968000663836696
160,0.2595586358760844,0.00016949286260129382,290,15,15,2,1,169,86384,-5.644183511767544
161,0.7253748923441873,0.00031192882845292556,462,14,4,1,1,1425,89048,-3.0886714612946324
162,0.5119602684086296,0.00013836141801631718,312,8,8,5,5,579,21470,-8.617751837594515
163,0.6903164058979799,0.0004337052831643057,474,9,6,5,2,80,32126,-1.7730005177869579
164,0.742964580304287,0.00014214253298225484,159,37,25,2,1,162,15272,-6.267953729964165
165,0.8802250861785351,0.000590172959329038,239,9,1,2,1,182,73020,-3.0018918606980693
166,0.33352876326294467,0.00022883718927344324,179,19,4,3,2,356,85982,-1.724775568196685
167,0.5528841092611364,0.0009453364858944027,308,19,5,2,2,1267,45104,-11.249478377907945
